OID_,Name,FolderPath,SymbolID,AltMode,Base,Clamped,Extruded,Snippet,PopupInfo,Shape_Leng,Shape_Area,zone_id,accessibility_score,commercial_score,road_density,population,dump_risk
0,Ward 174,BBMP Wards,21,0,0.0,-1,0,,Ward Name: HSR Layout<br>Zone: Bommanahalli <br>Division: Bommanahalli<br>Subdivision: Bommanahalli<br>Assembly (MLA) Constituency : Bommanahalli<br>Parliament (MP) Constituency: Bangalore South,0.16257322725,0.00058695748,17,0.4872064345660801,0.0,4570.200877451946,0.3797679939818918,0.33819477734656483
0,Ward 174,BBMP Wards,21,0,0.0,-1,0,,Ward Name: HSR Layout<br>Zone: Bommanahalli <br>Division: Bommanahalli<br>Subdivision: Bommanahalli<br>Assembly (MLA) Constituency : Bommanahalli<br>Parliament (MP) Constituency: Bangalore South,0.16257322725,0.00058695748,18,0.47426807519680336,0.0,4772.514092915367,0.3965795272279766,0.7207101777993987
0,Ward 174,BBMP Wards,21,0,0.0,-1,0,,Ward Name: HSR Layout<br>Zone: Bommanahalli <br>Division: Bommanahalli<br>Subdivision: Bommanahalli<br>Assembly (MLA) Constituency : Bommanahalli<br>Parliament (MP) Constituency: Bangalore South,0.16257322725,0.00058695748,19,0.2608715010681955,0.2826709691309744,7516.812091253592,0.6246212640495081,0.5936521454885142
0,Ward 174,BBMP Wards,21,0,0.0,-1,0,,Ward Name: HSR Layout<br>Zone: Bommanahalli <br>Division: Bommanahalli<br>Subdivision: Bommanahalli<br>Assembly (MLA) Constituency : Bommanahalli<br>Parliament (MP) Constituency: Bangalore South,0.16257322725,0.00058695748,20,0.05993171402942139,0.1009047286382061,3525.25275733036,0.2929363946638821,0.15716363820102489
0,Ward 174,BBMP Wards,21,0,0.0,-1,0,,Ward Name: HSR Layout<br>Zone: Bommanahalli <br>Division: Bommanahalli<br>Subdivision: Bommanahalli<br>Assembly (MLA) Constituency : Bommanahalli<br>Parliament (MP) Constituency: Bangalore South,0.16257322725,0.00058695748,21,0.5283390892757236,0.07410333140777191,3380.6525091167728,0.28092061074849883,0.20302959392153672
0,Ward 174,BBMP Wards,21,0,0.0,-1,0,,Ward Name: HSR Layout<br>Zone: Bommanahalli <br>Division: Bommanahalli<br>Subdivision: Bommanahalli<br>Assembly (MLA) Constituency : Bommanahalli<br>Parliament (MP) Constituency: Bangalore South,0.16257322725,0.00058695748,22,0.47359775141274707,0.0,3716.4104097172276,0.308820938938383,0.35729600250208676
0,Ward 174,BBMP Wards,21,0,0.0,-1,0,,Ward Name: HSR Layout<br>Zone: Bommanahalli <br>Division: Bommanahalli<br>Subdivision: Bommanahalli<br>Assembly (MLA) Constituency : Bommanahalli<br>Parliament (MP) Constituency: Bangalore South,0.16257322725,0.00058695748,23,0.45882137667965145,0.049663842977693266,3607.1399916916407,0.29974094255138045,0.9940220875547161
0,Ward 174,BBMP Wards,21,0,0.0,-1,0,,Ward Name: HSR Layout<br>Zone: Bommanahalli <br>Division: Bommanahalli<br>Subdivision: Bommanahalli<br>Assembly (MLA) Constituency : Bommanahalli<br>Parliament (MP) Constituency: Bangalore South,0.16257322725,0.00058695748,24,0.17601538552127613,0.23386542320325773,12034.19179571479,1.0,0.9999999999986516
0,Ward 174,BBMP Wards,21,0,0.0,-1,0,,Ward Name: HSR Layout<br>Zone: Bommanahalli <br>Division: Bommanahalli<br>Subdivision: Bommanahalli<br>Assembly (MLA) Constituency : Bommanahalli<br>Parliament (MP) Constituency: Bangalore South,0.16257322725,0.00058695748,25,0.24342104320504077,0.1229069316917602,3084.407027804913,0.25630362887379177,0.13886225666191634
0,Ward 174,BBMP Wards,21,0,0.0,-1,0,,Ward Name: HSR Layout<br>Zone: Bommanahalli <br>Division: Bommanahalli<br>Subdivision: Bommanahalli<br>Assembly (MLA) Constituency : Bommanahalli<br>Parliament (MP) Constituency: Bangalore South,0.16257322725,0.00058695748,26,0.5391192923363713,0.0,3833.832520970887,0.3185783130310472,0.17260729575630712
